epoch,step,loss_q1,loss_q2,loss_pi,q1_val,q2_val,grad_q1,grad_q2,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s,det_loss,det_dist_loss,det_alpha_loss
138,551900,4.251663,4.285352,-46.977380,46.6855,46.6853,48.9111,48.7623,0.7625,0.3551,457.72,325.2,5,1,552000,357.6,0.716405,0.574740,0.123537
139,555900,4.651456,4.663391,-47.285448,47.0547,47.0544,51.9154,51.2726,0.7779,0.3506,851.75,587.3,3,2,556000,360.6,0.712605,0.571842,0.122692
140,559900,,,,,,,,,,873.43,669.0,8,0,560000,361.0,,,
141,563900,4.787790,4.810817,-47.758270,47.4204,47.4204,52.8745,53.2485,0.8088,0.3766,695.03,606.8,6,1,564000,370.4,0.718577,0.576205,0.123980
142,567900,5.047738,4.951120,-48.160933,47.8155,47.8155,56.9384,54.6866,0.7920,0.3655,831.69,1001.0,1,1,568000,373.4,0.711249,0.570659,0.122318
143,571900,4.883197,4.826941,-48.662534,48.2452,48.2448,55.0869,53.0092,0.7811,0.3868,910.56,663.2,6,0,572000,376.5,0.709950,0.569845,0.122070
144,575900,4.993070,4.996112,-48.959060,48.6031,48.6031,56.1755,55.8117,0.8103,0.3967,1145.12,781.5,2,0,576000,379.6,0.704558,0.565667,0.120804
145,579900,,,,,,,,,,1041.11,1001.0,4,0,580000,379.9,,,
146,583900,5.242524,5.272653,-49.325991,48.9958,48.9953,61.8442,61.0469,0.8263,0.3779,992.85,1001.0,2,1,584000,383.0,0.716345,0.574638,0.123386
147,587900,4.973246,4.933173,-49.785357,49.4484,49.4483,58.9957,57.4847,0.7909,0.3921,1018.40,1001.0,2,1,588000,386.1,0.710320,0.570080,0.122108
148,591900,5.305884,5.258984,-50.316448,49.9392,49.9395,61.5122,59.7344,0.8226,0.3960,874.91,1001.0,1,1,592000,389.1,0.707161,0.567645,0.121401
149,595900,5.585892,5.521235,-50.625578,50.2834,50.2834,61.9525,60.5242,0.8195,0.4062,861.59,681.8,4,0,596000,392.2,0.703975,0.565327,0.120749
150,599900,,,,,,,,,,1504.55,1001.0,2,0,600000,392.5,,,
151,603900,5.412687,5.358585,-51.044449,50.6567,50.6565,66.4520,63.6486,0.8619,0.4137,1225.65,1001.0,7,2,604000,402.3,0.706649,0.567264,0.121257
