epoch,step,loss_q,loss_pi,q_val,grad_q,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s
25,99900,,,,,,,,,,74778.42,1000.0,100,51,100000,19.5
26,103900,86.331304,84.579814,-189.591572,188.8162,188.8135,4297.3180,4124.9474,0.0001,0.0000,,,0,0,104000,20.3
27,107900,84.737542,84.060469,-199.974442,199.2064,199.2109,2634.8497,2781.6751,0.0001,0.0000,,,0,0,108000,21.1
28,111900,84.932520,83.744623,-212.219882,210.9039,210.9080,2631.9646,2964.7639,0.0001,0.0000,,,0,0,112000,21.9
29,115900,84.307075,84.436507,-223.877842,222.4809,222.4734,2798.8474,3255.6767,0.0001,0.0000,,,0,0,116000,22.7
30,119900,,,,,,,,,,,,0,0,120000,23.3
31,123900,81.152618,80.166812,-235.663091,234.2695,234.2844,2264.1355,2106.9452,0.0001,0.0000,,,0,0,124000,24.2
32,127900,86.453261,85.940343,-247.196349,246.3755,246.3641,2513.8983,2640.5386,0.0001,0.0000,,,0,0,128000,25.0
33,131900,78.122094,76.032000,-258.638930,257.5654,257.5736,3612.4711,3019.0526,0.0001,0.0000,,,0,0,132000,25.8
34,135900,92.114752,88.960305,-268.845387,268.3364,268.3390,5061.4354,4642.0146,0.0000,0.0000,,,0,0,136000,26.6
35,139900,,,,,,,,,,,,0,0,140000,27.2
36,143900,86.908745,86.558223,-281.033281,280.3526,280.3649,2479.2540,2603.0218,0.0000,0.0000,,,0,0,144000,28.1
37,147900,78.111537,76.679961,-294.113208,293.0321,293.0262,3126.3575,2675.4890,0.0000,0.0000,,,0,0,148000,28.9
38,151900,82.796113,83.376481,-305.445170,304.9976,305.0107,3235.5006,3317.6943,0.0000,0.4130,,,0,0,152000,29.7
39,155900,87.161797,86.876340,-317.198654,316.3389,316.3324,5637.8906,5383.8601,0.0000,0.0001,,,0,0,156000,30.5
40,159900,,,,,,,,,,,,0,0,160000,31.1
41,163900,97.116519,96.651738,-328.800657,328.0461,328.0513,7619.5983,7174.0112,0.0000,0.0000,,,0,0,164000,31.9
42,167900,87.649098,87.292877,-340.508037,339.7288,339.7316,4213.8169,4386.1003,0.0000,0.0000,,,0,0,168000,32.7
43,171900,96.656143,96.079027,-353.905063,352.2382,352.2391,5272.4011,5205.6378,0.0000,0.0000,,,0,0,172000,33.6
44,175900,87.076743,87.446034,-364.216804,364.0944,364.1024,5014.7986,5223.3933,0.0000,0.0000,,,0,0,176000,34.4
45,179900,,,,,,,,,,,,0,0,180000,35.0
46,183900,79.630822,79.571188,-376.455332,375.9540,375.9573,6651.6572,6540.2384,0.0000,0.0000,,,0,0,184000,35.8
47,187900,86.857024,85.210724,-388.402059,388.0034,387.9817,5837.9447,4638.1405,0.0000,0.0000,,,0,0,188000,36.6
48,191900,107.994769,107.910069,-399.212618,398.5709,398.5871,7911.3595,7830.1072,0.0000,0.0000,,,0,0,192000,37.5
49,195900,90.316148,90.087624,-411.486495,411.0430,411.0461,5214.0970,4864.3850,0.0000,0.0000,,,0,0,196000,38.3
50,199900,,,,,,,,,,,,0,0,200000,38.9
51,203900,190.471943,190.842959,-423.700116,422.3980,422.3818,8702.2197,8554.8795,0.0000,0.0000,117382.35,1001.0,100,53,204000,39.7
52,207900,240.622750,242.105719,-436.091760,434.5064,434.5168,6696.6250,7347.4303,0.0000,0.0000,,,0,0,208000,40.6
