epoch,step,loss_q1,loss_q2,loss_pi,q1_val,q2_val,grad_q1,grad_q2,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s,det_loss,det_dist_loss,det_alpha_loss
98,391900,2.301791,2.257078,-34.853356,34.6367,34.6372,28.6050,29.1943,0.5231,0.0731,,,0,0,392000,199.3,0.002955,0.002451,0.000331
99,395900,2.264373,2.221507,-35.175303,34.9174,34.9176,29.8564,30.2560,0.5061,0.0764,,,0,0,396000,201.6,0.001307,0.000963,0.000174
100,399900,,,,,,,,,,556.81,588.5,4,1,400000,202.0,,,
101,403900,2.384853,2.381361,-35.544443,35.2650,35.2650,29.5145,30.8492,0.5363,0.0760,806.25,960.3,24,5,404000,209.3,0.007139,0.006316,0.000659
102,407900,2.474922,2.462215,-35.903128,35.6508,35.6496,29.4343,29.8833,0.5189,0.0767,814.11,945.8,17,6,408000,211.6,0.033828,0.030099,0.003447
103,411900,2.623502,2.628250,-36.237576,35.9531,35.9533,30.5644,30.9935,0.5286,0.0758,827.14,954.3,21,3,412000,214.0,0.027586,0.024352,0.002952
104,415900,2.614992,2.619101,-36.594818,36.2963,36.2974,29.7850,30.7000,0.5245,0.0805,658.13,779.2,13,6,416000,216.3,0.024121,0.021048,0.002803
105,419900,,,,,,,,,,528.57,562.3,20,9,420000,216.7,,,
106,423900,2.823563,2.850219,-36.981010,36.7095,36.7090,32.3311,33.4335,0.5408,0.0834,318.55,366.2,6,3,424000,219.0,0.041538,0.037126,0.004111
107,427900,2.794711,2.784796,-37.348697,37.0403,37.0408,31.3119,32.5079,0.5474,0.0843,413.38,430.2,6,0,428000,221.3,0.022763,0.019978,0.002508
108,431900,2.922431,2.905275,-37.621108,37.3786,37.3786,32.1990,33.1770,0.5606,0.0792,218.95,159.5,2,0,432000,223.6,0.004815,0.004048,0.000537
109,435900,2.927052,2.911667,-37.959122,37.6928,37.6916,32.7978,33.5319,0.5573,0.0813,553.34,573.5,2,1,436000,225.9,0.003871,0.003181,0.000474
110,439900,,,,,,,,,,274.11,221.0,2,1,440000,226.2,,,
111,443900,2.964007,2.971276,-38.300150,38.0342,38.0348,31.1064,32.0824,0.5266,0.0837,550.18,567.4,5,2,444000,233.8,0.008877,0.007773,0.000876
112,447900,3.147369,3.130392,-38.613908,38.3254,38.3255,33.5001,34.6653,0.5471,0.0835,489.21,524.0,4,2,448000,236.1,0.004014,0.003333,0.000466
113,451900,2.854838,2.849743,-38.953377,38.6646,38.6645,33.6276,34.6895,0.5654,0.0857,559.05,470.0,3,2,452000,238.4,0.005440,0.004573,0.000647
114,455900,2.782891,2.760229,-39.250320,38.9821,38.9820,35.2917,36.6890,0.5896,0.0921,561.69,578.3,3,2,456000,240.8,0.006625,0.005668,0.000734
115,459900,,,,,,,,,,336.91,352.7,11,4,460000,241.1,,,
116,463900,3.032752,3.010804,-39.544639,39.2875,39.2868,37.6563,38.9626,0.5824,0.0907,457.86,507.6,5,1,464000,243.5,0.022520,0.019380,0.002891
117,467900,2.977696,3.001113,-39.926915,39.6057,39.6055,36.9783,38.6298,0.5872,0.0859,52.24,38.5,2,1,468000,245.8,0.014419,0.012653,0.001534
118,471900,3.309124,3.277660,-40.216904,39.8969,39.8976,37.9361,39.2104,0.5793,0.0908,583.77,629.5,2,1,472000,248.1,0.003739,0.003046,0.000490
119,475900,3.095193,3.061196,-40.495413,40.2073,40.2069,37.6586,38.2435,0.5511,0.0886,,,0,0,476000,250.4,0.011647,0.010333,0.001099
120,479900,,,,,,,,,,,,0,0,480000,250.7,,,
121,483900,3.143573,3.120863,-40.780174,40.5030,40.5029,37.9910,39.3376,0.5726,0.0974,832.26,1001.0,1,1,484000,258.9,0.003714,0.003049,0.000471
122,487900,2.971728,2.987978,-41.086958,40.7743,40.7740,38.5607,40.5532,0.5701,0.0957,172.22,138.0,1,1,488000,261.2,0.008177,0.007128,0.000857
123,491900,3.062363,3.117884,-41.347908,41.0812,41.0815,36.9427,39.1620,0.5798,0.0948,778.43,893.5,2,0,492000,263.5,0.001032,0.000761,0.000096
124,495900,3.250184,3.234477,-41.673502,41.3633,41.3631,38.3564,38.8040,0.5747,0.0930,647.01,919.0,1,0,496000,265.8,0.002929,0.002337,0.000423
125,499900,,,,,,,,,,786.68,1001.0,3,0,500000,266.2,,,
126,503900,3.325761,3.319894,-41.916407,41.6557,41.6562,40.9502,42.3253,0.5921,0.0899,825.10,944.0,18,5,504000,268.5,0.001547,0.001208,0.000170
127,507900,3.205630,3.199748,-42.228163,41.9536,41.9530,40.4234,40.9820,0.5971,0.0989,853.82,1001.0,10,4,508000,270.9,0.028663,0.025660,0.002755
128,511900,3.271645,3.236791,-42.596227,42.3001,42.3005,38.8912,39.6010,0.5725,0.0908,746.47,823.0,19,4,512000,273.3,0.017630,0.015361,0.002037
129,515900,3.452188,3.459062,-42.986631,42.6727,42.6731,39.9781,41.4703,0.5814,0.0975,842.20,1001.0,8,5,516000,275.7,0.016207,0.014125,0.001867
130,519900,,,,,,,,,,621.31,660.2,11,6,520000,276.0,,,
131,523900,3.869042,3.864426,-43.354700,43.0236,43.0235,42.1230,43.4541,0.5946,0.0995,520.69,474.4,10,2,524000,284.5,0.021236,0.018354,0.002620
132,527900,3.922617,3.911768,-43.665984,43.3867,43.3864,43.7131,45.3674,0.6131,0.0987,560.60,615.1,7,3,528000,286.9,0.013481,0.011726,0.001537
133,531900,3.735928,3.720451,-44.096378,43.7785,43.7778,42.9707,43.4446,0.6095,0.1047,592.22,568.0,5,2,532000,289.2,0.004188,0.003486,0.000506
134,535900,3.876598,3.815173,-44.507118,44.1332,44.1328,45.4729,45.6177,0.6154,0.1034,399.80,289.5,10,5,536000,291.7,0.018106,0.016135,0.001742
135,539900,,,,,,,,,,531.48,415.0,6,2,540000,292.0,,,
136,543900,4.013308,3.993227,-44.856668,44.5243,44.5259,46.7998,48.1185,0.6426,0.1073,790.52,792.5,4,2,544000,294.3,0.021862,0.018956,0.002675
137,547900,3.725565,3.762073,-45.097144,44.8017,44.8011,43.9038,46.3756,0.6482,0.1069,857.83,1001.0,2,0,548000,296.7,0.009421,0.008200,0.001019
138,551900,3.855293,3.825755,-45.491947,45.1241,45.1236,45.6229,46.7769,0.6029,0.1030,900.95,785.6,5,1,552000,299.0,0.003632,0.002999,0.000456
139,555900,4.280117,4.325486,-45.779806,45.4653,45.4654,50.1400,52.8670,0.6491,0.1073,973.93,1001.0,1,0,556000,301.3,0.009919,0.008682,0.001042
140,559900,,,,,,,,,,614.97,642.2,10,5,560000,301.6,,,
141,563900,4.054860,4.125963,-46.108272,45.7606,45.7609,48.3419,50.6139,0.6217,0.1097,802.43,784.7,6,0,564000,310.6,0.029362,0.026161,0.002947
142,567900,4.082875,4.027853,-46.378464,46.0837,46.0830,46.6187,46.9440,0.6321,0.1110,439.88,422.1,7,5,568000,313.1,0.010109,0.008791,0.001120
143,571900,4.188053,4.170394,-46.781157,46.4078,46.4087,50.6508,51.2014,0.6383,0.1104,352.04,351.8,5,2,572000,315.5,0.024901,0.022354,0.002318
144,575900,4.390941,4.417750,-47.130644,46.7494,46.7491,50.6826,53.7503,0.6586,0.1130,461.26,344.5,6,2,576000,318.0,0.011517,0.010022,0.001281
145,579900,,,,,,,,,,381.06,247.3,3,1,580000,318.3,,,
146,583900,4.614565,4.617956,-47.403953,47.0635,47.0632,55.7563,58.2583,0.6729,0.1157,672.11,614.7,3,1,584000,320.6,0.007691,0.006702,0.000792
147,587900,4.590988,4.559444,-47.714813,47.3516,47.3517,52.1561,53.5302,0.6585,0.1136,872.47,704.5,2,0,588000,323.1,0.004152,0.003451,0.000514
148,591900,4.690900,4.672695,-48.082212,47.6899,47.6897,51.8913,54.2457,0.6631,0.1192,725.34,577.5,6,2,592000,325.5,0.003029,0.002488,0.000367
149,595900,4.476296,4.478058,-48.315998,47.9841,47.9845,52.7089,54.7018,0.6821,0.1184,384.11,304.3,3,0,596000,327.8,0.008440,0.007231,0.001024
150,599900,,,,,,,,,,1064.75,926.0,2,1,600000,328.1,,,
151,603900,4.514216,4.526909,-48.574963,48.2169,48.2168,57.0650,59.3796,0.7034,0.1196,632.06,717.7,9,3,604000,337.6,0.001948,0.001603,0.000179
152,607900,5.110052,5.122473,-48.821296,48.4783,48.4793,62.7375,63.8862,0.7263,0.1165,765.65,751.4,9,2,608000,339.9,0.015674,0.013613,0.001862
153,611900,4.299833,4.273359,-49.219294,48.8140,48.8133,52.9726,54.3996,0.6684,0.1243,745.55,737.4,16,3,612000,342.3,0.017549,0.015379,0.001959
154,615900,4.588038,4.581009,-49.514575,49.0994,49.1000,58.6533,60.4968,0.6907,0.1272,753.16,753.5,8,1,616000,344.7,0.009228,0.007922,0.001123
155,619900,,,,,,,,,,874.45,887.0,8,1,620000,345.1,,,
156,623900,5.443378,5.371763,-49.830019,49.4374,49.4371,63.5399,64.7540,0.7094,0.1238,766.12,781.2,4,2,624000,347.4,0.008807,0.007534,0.001098
157,627900,5.261663,5.209250,-50.091012,49.6970,49.6976,60.6510,63.1820,0.6880,0.1251,753.20,879.4,7,2,628000,349.7,0.015414,0.013779,0.001454
158,631900,5.012000,4.992544,-50.469918,50.0723,50.0719,57.9261,60.4098,0.7009,0.1281,687.69,703.4,5,2,632000,352.0,0.012171,0.010759,0.001223
159,635900,4.985756,4.928698,-50.737209,50.4144,50.4148,54.6516,56.4293,0.7049,0.1347,755.44,887.5,8,3,636000,354.3,0.024448,0.021666,0.002557
160,639900,,,,,,,,,,703.08,735.7,6,1,640000,354.6,,,
161,643900,5.266708,5.264147,-51.052420,50.6873,50.6868,59.7309,62.0893,0.7077,0.1269,411.84,330.1,10,2,644000,364.6,0.014823,0.013022,0.001610
162,647900,5.453265,5.464758,-51.360129,51.0134,51.0132,60.2180,63.6108,0.7226,0.1413,615.54,410.8,6,1,648000,366.9,0.015908,0.013922,0.001791
163,651900,5.534844,5.572001,-51.741405,51.3956,51.3961,62.3898,65.6390,0.7441,0.1471,778.16,782.0,3,0,652000,369.2,0.010170,0.008747,0.001240
164,655900,5.537745,5.500652,-52.043049,51.6980,51.6974,69.0536,70.0631,0.7816,0.1428,525.42,348.1,7,2,656000,371.6,0.009396,0.008049,0.001171
165,659900,,,,,,,,,,608.22,592.2,9,3,660000,371.9,,,
166,663900,5.482294,5.465625,-52.535502,52.0597,52.0601,62.2947,64.1204,0.7535,0.1464,607.27,612.8,5,2,664000,374.3,0.007440,0.006297,0.000967
167,667900,5.901549,5.991760,-52.857442,52.4161,52.4160,66.9682,71.4540,0.7643,0.1604,575.61,470.2,8,3,668000,376.6,0.015440,0.013523,0.001714
168,671900,5.630092,5.605653,-53.106302,52.7765,52.7767,67.7109,70.4254,0.8132,0.1538,325.19,282.3,6,4,672000,378.9,0.013574,0.012088,0.001299
169,675900,5.433024,5.413790,-53.392050,53.0002,53.0008,64.3058,65.8127,0.7652,0.1462,591.61,566.3,6,2,676000,381.4,0.023879,0.021351,0.002313
170,679900,,,,,,,,,,657.49,552.3,3,0,680000,381.7,,,
171,683900,5.628639,5.541841,-53.914996,53.5138,53.5149,65.5589,66.6857,0.7896,0.1496,793.11,762.8,4,2,684000,392.0,0.011072,0.009882,0.001016
172,687900,5.825356,5.837518,-54.252025,53.8174,53.8178,66.8545,69.7408,0.7822,0.1521,927.32,646.3,6,2,688000,394.4,0.014084,0.012440,0.001449
173,691900,6.368317,6.324492,-54.494159,54.1373,54.1357,66.2828,68.7263,0.7862,0.1553,659.57,784.0,4,0,692000,396.7,0.009211,0.007887,0.001146
174,695900,6.364465,6.398602,-54.892576,54.5090,54.5098,73.0118,75.9356,0.8260,0.1641,1162.24,772.0,3,0,696000,399.0,0.007627,0.006563,0.000897
175,699900,,,,,,,,,,649.05,499.0,3,1,700000,399.3,,,
176,703900,6.433730,6.471516,-55.150771,54.8360,54.8355,77.4363,80.5410,0.8413,0.1699,677.16,635.0,9,2,704000,401.7,0.005200,0.004398,0.000638
177,707900,7.210324,7.145610,-55.485511,55.1116,55.1128,81.5688,84.3956,0.8383,0.1630,609.49,666.3,9,3,708000,404.1,0.017507,0.015503,0.001818
178,711900,6.346165,6.439846,-55.856110,55.4779,55.4776,78.3596,80.1608,0.8504,0.1722,838.72,739.6,12,5,712000,406.4,0.007609,0.006480,0.000960
179,715900,5.980794,5.940724,-56.346325,55.8929,55.8928,76.0407,79.7767,0.8490,0.1672,1305.88,1001.0,5,2,716000,408.7,0.012060,0.010676,0.001204
180,719900,,,,,,,,,,1259.50,902.2,5,1,720000,409.1,,,
181,723900,6.949321,6.911700,-56.541488,56.1618,56.1630,83.4964,85.7824,0.8567,0.1687,874.12,541.0,9,4,724000,419.5,0.003744,0.003184,0.000404
182,727900,6.556548,6.431765,-56.940615,56.5553,56.5547,78.2497,80.7118,0.8638,0.1666,747.05,570.7,6,2,728000,421.7,0.006158,0.005187,0.000813
183,731900,7.744367,7.798954,-57.276482,56.8905,56.8909,85.3500,90.9546,0.8707,0.1700,980.52,1001.0,1,0,732000,423.9,0.006587,0.005542,0.000880
184,735900,6.593557,6.622827,-57.631880,57.2531,57.2522,80.1815,83.9834,0.8649,0.1737,1157.01,925.8,5,2,736000,426.2,0.003141,0.002646,0.000347
185,739900,,,,,,,,,,1001.26,759.3,7,1,740000,426.5,,,
