epoch,step,loss_q1,loss_q2,loss_pi,q1_val,q2_val,grad_q1,grad_q2,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s
153,611900,24.697844,24.551797,-106.779227,105.7659,105.7665,280.4221,287.1965,8.2625,1.1626,,,0,0,612000,184.1
154,615900,25.716202,25.549520,-107.930127,106.9576,106.9574,272.4151,277.7392,8.4333,1.2332,,,0,0,616000,185.6
155,619900,,,,,,,,,,,,0,0,620000,185.8
156,623900,26.417725,26.273287,-109.710470,108.7114,108.7113,278.8169,279.4357,8.0936,1.2445,,,0,0,624000,187.3
157,627900,23.388444,23.188191,-111.193332,110.1051,110.1062,272.0544,273.8729,9.1830,1.2793,,,0,0,628000,188.8
158,631900,24.713623,24.540623,-112.317019,111.3891,111.3896,280.6081,280.1954,9.4917,1.3871,,,0,0,632000,190.2
159,635900,26.216078,26.068163,-113.541156,112.7140,112.7138,304.7108,313.5494,7.0045,1.2991,,,0,0,636000,191.7
160,639900,,,,,,,,,,,,0,0,640000,191.8
161,643900,26.914324,26.753787,-115.337959,114.3001,114.3003,284.4357,293.9690,8.1645,1.3097,,,0,0,644000,193.3
162,647900,25.559560,25.391985,-116.505877,115.5539,115.5537,285.6271,285.6852,7.5340,1.2959,,,0,0,648000,194.8
163,651900,26.490069,26.324621,-118.069353,117.0974,117.0986,287.4590,295.1528,9.0536,1.4196,,,0,0,652000,196.3
164,655900,25.078644,24.959711,-119.654759,118.5144,118.5141,286.9205,290.6924,7.9340,1.3236,,,0,0,656000,197.8
165,659900,,,,,,,,,,,,0,0,660000,197.9
166,663900,26.976657,26.882626,-120.944540,119.9468,119.9477,296.0267,301.7160,10.2970,1.4123,,,0,0,664000,199.4
167,667900,25.764061,25.694722,-122.161339,121.1781,121.1775,310.7251,315.9000,8.8241,1.2697,,,0,0,668000,200.9
168,671900,27.883004,27.741789,-123.788778,122.6390,122.6399,319.0054,319.1733,10.3950,1.5171,,,0,0,672000,202.4
169,675900,27.685546,27.560992,-124.846791,123.8045,123.8048,314.5209,321.3138,10.4722,1.5779,,,0,0,676000,203.9
170,679900,,,,,,,,,,,,0,0,680000,204.0
171,683900,27.164065,27.115554,-126.413452,125.3401,125.3406,324.7894,331.8254,10.2142,1.6274,,,0,0,684000,205.6
172,687900,26.900684,26.805486,-127.804813,126.7121,126.7122,309.9015,312.7414,11.9908,1.7909,,,0,0,688000,207.1
173,691900,25.335739,25.216603,-129.024489,127.9573,127.9570,311.3831,319.8857,11.0430,1.6817,,,0,0,692000,208.6
174,695900,25.800299,25.713931,-130.239312,129.1528,129.1528,303.9752,312.8614,8.3827,1.5310,,,0,0,696000,210.0
175,699900,,,,,,,,,,,,0,0,700000,210.2
176,703900,26.569472,26.409870,-131.520842,130.5229,130.5228,325.6192,325.0191,10.2973,1.7384,4172.45,1001.0,100,47,704000,211.7
177,707900,35.372974,35.160615,-132.607262,131.4280,131.4288,376.2302,375.1652,9.6600,1.6199,,,0,0,708000,213.1
178,711900,32.069580,31.921538,-133.827692,132.6952,132.6956,346.8815,353.2950,11.2172,1.7522,,,0,0,712000,214.6
179,715900,34.951036,34.721365,-134.882129,133.8894,133.8892,365.0501,369.2704,9.6950,1.7374,,,0,0,716000,216.1
180,719900,,,,,,,,,,,,0,0,720000,216.3
181,723900,35.590037,35.483718,-136.100819,135.0840,135.0854,372.1019,377.8191,10.8319,1.9153,,,0,0,724000,217.8
182,727900,35.996988,35.871730,-137.022466,136.2159,136.2161,372.0992,377.0389,8.7670,1.6893,,,0,0,728000,219.2
183,731900,34.115612,34.014853,-138.564974,137.5628,137.5632,364.9401,368.8098,10.1635,1.7147,,,0,0,732000,220.7
184,735900,35.281244,35.131743,-139.753605,138.8631,138.8623,353.7715,363.4064,11.6846,1.8093,,,0,0,736000,222.2
185,739900,,,,,,,,,,,,0,0,740000,222.4
186,743900,37.382135,37.270349,-141.089449,139.9685,139.9692,389.1556,398.6265,11.1171,1.9189,,,0,0,744000,223.8
187,747900,36.994142,36.846641,-142.333425,141.3415,141.3421,387.1385,404.1872,12.0859,1.9806,,,0,0,748000,225.3
188,751900,32.966712,32.834835,-143.379968,142.2777,142.2775,365.7358,379.9979,12.3632,2.0001,,,0,0,752000,226.9
189,755900,33.763670,33.658043,-144.421896,143.4374,143.4373,364.0041,367.4223,11.6422,2.0488,,,0,0,756000,228.3
190,759900,,,,,,,,,,,,0,0,760000,228.5
191,763900,37.131838,36.975835,-145.947841,144.8447,144.8447,409.2711,408.5510,13.1987,2.0986,,,0,0,764000,230.0
192,767900,33.695722,33.571495,-147.098714,146.1345,146.1353,392.7798,410.7786,11.1587,2.0242,,,0,0,768000,231.5
193,771900,33.745377,33.692126,-148.349116,147.3420,147.3415,390.6848,402.4726,10.7391,1.8578,,,0,0,772000,233.0
194,775900,34.671499,34.561645,-149.410608,148.4590,148.4593,382.2791,385.7909,12.9123,2.1872,,,0,0,776000,234.5
195,779900,,,,,,,,,,,,0,0,780000,234.6
196,783900,34.164911,34.002533,-150.690613,149.6989,149.6989,378.8754,382.2470,10.6363,1.8282,,,0,0,784000,236.2
197,787900,36.104346,36.000800,-151.929646,150.9167,150.9162,397.1283,405.1093,10.2175,1.9283,,,0,0,788000,237.7
198,791900,34.750449,34.708653,-152.990379,152.2588,152.2591,392.1476,401.3235,11.6065,2.1412,,,0,0,792000,239.2
199,795900,37.834055,37.762428,-154.407989,153.3993,153.3991,415.1429,426.3028,9.4121,2.0181,,,0,0,796000,240.7
200,799900,,,,,,,,,,,,0,0,800000,240.9
201,803900,33.960428,33.942500,-155.415970,154.6303,154.6310,417.0388,421.2755,12.4858,2.2020,4355.16,1001.0,100,55,804000,242.4
202,807900,43.398188,43.364709,-156.350818,155.3879,155.3879,430.5540,440.5528,13.0651,2.4561,,,0,0,808000,243.9
203,811900,42.512467,42.416230,-157.562939,156.6355,156.6357,435.1372,452.0940,13.3462,2.4087,,,0,0,812000,245.4
204,815900,45.741823,45.692400,-158.788050,157.6015,157.6009,467.2258,469.8986,9.7084,1.9302,,,0,0,816000,246.9
205,819900,,,,,,,,,,,,0,0,820000,247.0
206,823900,44.379411,44.303655,-159.932203,158.8987,158.8998,447.6879,458.4133,11.5276,2.3380,,,0,0,824000,248.5
207,827900,46.111996,46.026287,-161.306835,160.0891,160.0885,461.7640,475.6431,11.9441,2.4076,,,0,0,828000,250.0
208,831900,46.643826,46.533942,-161.919073,160.9894,160.9899,470.7930,472.1021,9.9833,2.1365,,,0,0,832000,251.5
209,835900,42.840692,42.754585,-163.654106,162.4891,162.4894,431.9143,441.3126,11.2869,2.3534,,,0,0,836000,253.0
210,839900,,,,,,,,,,,,0,0,840000,253.1
211,843900,42.602614,42.462573,-164.335763,163.3784,163.3788,458.5178,465.2962,10.2667,2.3373,,,0,0,844000,254.6
212,847900,45.439263,45.351588,-165.570896,164.4806,164.4799,465.8361,483.9995,12.9615,2.7023,,,0,0,848000,256.2
213,851900,49.019886,48.971322,-166.566872,165.6569,165.6584,506.5512,509.6538,11.0195,2.5742,,,0,0,852000,257.6
214,855900,44.374739,44.317636,-167.679979,166.7579,166.7578,448.7303,459.8457,11.4233,2.3802,,,0,0,856000,259.1
215,859900,,,,,,,,,,,,0,0,860000,259.2
216,863900,43.039515,42.970745,-168.587178,167.7719,167.7722,447.7862,447.8669,11.0837,2.2183,,,0,0,864000,260.7
217,867900,44.424499,44.341862,-169.513102,168.7055,168.7059,500.6454,511.8475,9.8628,1.9764,,,0,0,868000,262.2
218,871900,48.292244,48.286664,-171.215446,170.1850,170.1853,502.4359,514.7349,13.0865,2.5023,,,0,0,872000,263.7
219,875900,43.484940,43.369926,-172.059367,170.9784,170.9776,455.4361,455.2825,9.6485,2.1641,,,0,0,876000,265.1
220,879900,,,,,,,,,,,,0,0,880000,265.3
221,883900,43.324499,43.233253,-173.408996,172.5331,172.5334,448.9743,458.6686,13.4695,2.6518,,,0,0,884000,266.8
222,887900,44.246541,44.252719,-174.393450,173.3798,173.3797,517.5617,532.2077,12.4106,2.4982,,,0,0,888000,268.4
223,891900,44.553651,44.494447,-175.631228,174.5903,174.5916,526.5442,527.0322,14.4907,2.7398,,,0,0,892000,269.8
224,895900,45.901888,45.783132,-176.699938,175.6337,175.6340,498.9907,498.2514,12.2955,2.4816,,,0,0,896000,271.4
225,899900,,,,,,,,,,,,0,0,900000,271.5
226,903900,48.742646,48.695405,-177.714294,176.6653,176.6652,515.2653,522.9610,13.7354,2.5200,4693.83,1001.0,100,46,904000,273.0
227,907900,52.089021,52.024450,-178.369299,177.3163,177.3159,481.4674,490.5955,11.0651,2.1146,,,0,0,908000,274.6
228,911900,57.918613,57.917197,-179.500838,178.4949,178.4955,547.9953,560.2491,12.7326,2.3821,,,0,0,912000,276.1
229,915900,56.327535,56.325565,-180.706846,179.7821,179.7808,523.3923,532.6506,15.5332,2.6345,,,0,0,916000,277.6
230,919900,,,,,,,,,,,,0,0,920000,277.8
231,923900,58.107539,58.024046,-181.658540,180.6349,180.6351,515.0022,521.7223,13.0085,2.4117,,,0,0,924000,279.2
232,927900,52.688858,52.672724,-182.822898,181.7807,181.7820,566.7057,565.1331,13.5879,2.7902,,,0,0,928000,280.7
233,931900,51.552211,51.510378,-183.827738,182.7898,182.7891,544.6608,556.3918,14.5929,2.6590,,,0,0,932000,282.2
234,935900,55.199468,55.244765,-184.587610,183.6399,183.6395,548.5139,561.2350,13.0511,2.4586,,,0,0,936000,283.7
235,939900,,,,,,,,,,,,0,0,940000,283.8
236,943900,52.023086,51.899097,-186.040904,184.7639,184.7652,548.5322,555.6434,14.3183,2.7258,,,0,0,944000,285.3
237,947900,51.560587,51.511375,-186.580471,185.7712,185.7701,541.2316,541.6517,13.3590,2.5099,,,0,0,948000,286.8
238,951900,51.894981,51.935965,-187.928955,186.8559,186.8564,548.5902,539.3416,13.1683,2.2502,,,0,0,952000,288.3
239,955900,52.013548,51.957300,-188.945779,187.7999,187.7993,543.9117,541.4590,14.1007,2.4898,,,0,0,956000,289.8
240,959900,,,,,,,,,,,,0,0,960000,289.9
