epoch,step,loss_q,loss_pi,q_val,grad_q,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s,det_loss,det_dist_loss,det_alpha_loss
38,151900,0.728349,0.717888,-12.237421,11.4599,11.4602,3.7245,3.6681,2.7169,0.0639,162.98,157.0,2,0,152000,184.3,0.049982,0.019388,0.015297
39,155900,0.739155,0.728823,-12.822875,12.0562,12.0563,3.4799,3.5774,2.5955,0.0649,,,0,0,156000,190.7,0.031168,0.008101,0.011534
40,159900,,,,,,,,,,,,0,0,160000,191.1,,,
41,163900,0.740818,0.731596,-13.396386,12.6355,12.6355,3.6676,3.8331,2.5325,0.0659,,,0,0,164000,197.3,0.020127,0.003893,0.008117
42,167900,0.748850,0.740292,-13.947840,13.1987,13.1987,3.6858,3.7229,2.4431,0.0678,496.42,564.0,1,1,168000,203.6,0.020569,0.008618,0.005976
43,171900,0.764906,0.751007,-14.511717,13.7727,13.7728,3.5628,3.5952,2.5068,0.0691,,,0,0,172000,210.0,0.032637,0.019098,0.006770
44,175900,0.797229,0.786994,-15.025277,14.3154,14.3154,3.7706,3.8224,2.5773,0.0719,628.00,750.0,2,1,176000,216.3,0.022156,0.008604,0.006776
45,179900,,,,,,,,,,450.75,515.5,2,2,180000,216.7,,,
46,183900,0.810930,0.803301,-15.582793,14.8679,14.8680,3.6469,3.6772,2.5701,0.0724,,,0,0,184000,223.0,0.028118,0.018375,0.004872
47,187900,0.819659,0.809412,-16.132437,15.4270,15.4269,3.7982,3.8483,2.4380,0.0743,,,0,0,188000,229.3,0.009915,0.001777,0.004069
48,191900,0.842817,0.832421,-16.680821,15.9975,15.9975,4.0696,3.9786,2.3408,0.0767,613.29,680.0,1,0,192000,235.5,0.009037,0.001588,0.003725
49,195900,0.868581,0.856491,-17.228744,16.5530,16.5531,4.0433,4.0382,2.2554,0.0785,434.55,449.0,3,1,196000,241.7,0.012208,0.003725,0.004242
50,199900,,,,,,,,,,,,0,0,200000,242.1,,,
51,203900,0.927519,0.906324,-17.729651,17.0743,17.0746,4.1090,4.0306,2.2005,0.0807,868.39,991.6,21,13,204000,248.5,0.082316,0.067225,0.007546
52,207900,0.947600,0.938170,-18.271217,17.6346,17.6345,4.1537,4.2515,2.5473,0.0834,705.01,803.2,5,3,208000,254.9,0.074927,0.063011,0.005958
53,211900,0.966267,0.949688,-18.810041,18.1723,18.1725,4.3090,4.2003,2.1307,0.0839,830.27,895.0,9,3,212000,261.4,0.038655,0.029932,0.004361
54,215900,1.000436,0.982933,-19.361063,18.7279,18.7278,4.4702,4.5718,2.0551,0.0883,268.37,348.7,3,2,216000,267.6,0.044662,0.033746,0.005458
55,219900,,,,,,,,,,171.69,149.0,1,1,220000,268.0,,,
56,223900,1.022545,1.011709,-19.900019,19.2746,19.2747,4.5633,4.6536,2.1681,0.0892,839.18,923.6,37,22,224000,274.2,0.043833,0.034205,0.004814
57,227900,1.119353,1.105484,-20.462008,19.8315,19.8317,4.5968,4.5973,1.8956,0.0922,727.28,812.5,19,6,228000,280.6,0.176841,0.153590,0.011625
58,231900,1.213168,1.199050,-20.979975,20.3802,20.3802,4.8882,4.8978,2.0990,0.0952,439.57,454.0,4,1,232000,286.9,0.170269,0.144236,0.013017
59,235900,1.240307,1.223130,-21.497377,20.8915,20.8914,4.9418,4.9388,1.8801,0.0972,438.36,458.0,3,3,236000,293.4,0.081917,0.065524,0.008196
60,239900,,,,,,,,,,509.23,576.5,2,1,240000,293.7,,,
61,243900,1.279156,1.260155,-21.991876,21.3984,21.3987,4.8985,4.9011,1.9853,0.0996,300.39,216.0,1,1,244000,300.1,0.040048,0.028809,0.005619
62,247900,1.338024,1.313796,-22.523071,21.9119,21.9117,5.1846,5.1092,2.1131,0.1027,572.39,566.7,11,6,248000,306.5,0.046860,0.034373,0.006244
63,251900,1.378312,1.358399,-22.990848,22.3762,22.3765,5.3758,5.3832,2.2485,0.1068,694.95,729.8,4,1,252000,312.9,0.064887,0.053780,0.005553
64,255900,1.447975,1.424740,-23.432822,22.8424,22.8424,5.5918,5.5929,2.3029,0.1102,157.25,138.8,4,2,256000,319.3,0.041747,0.031326,0.005210
65,259900,,,,,,,,,,282.40,191.5,2,1,260000,319.7,,,
66,263900,1.519486,1.486643,-23.945662,23.3409,23.3409,5.6924,5.5959,2.2139,0.1143,184.36,126.0,1,1,264000,326.0,0.018077,0.010980,0.003549
67,267900,1.543815,1.515847,-24.370152,23.7724,23.7728,5.8461,5.8881,2.2364,0.1145,540.36,496.0,5,3,268000,332.3,0.022021,0.014463,0.003779
68,271900,1.623253,1.593419,-24.829800,24.2453,24.2455,6.0079,5.7020,2.1528,0.1189,178.76,123.0,1,1,272000,338.6,0.024371,0.016929,0.003721
69,275900,1.649317,1.635508,-25.308427,24.7251,24.7255,6.3670,6.3026,2.2027,0.1215,649.61,591.2,4,3,276000,345.1,0.026908,0.019766,0.003571
70,279900,,,,,,,,,,963.93,1001.0,1,0,280000,345.5,,,
71,283900,1.676167,1.660368,-25.738317,25.1539,25.1541,6.1279,6.0126,2.3227,0.1262,636.52,461.3,3,2,284000,351.8,0.022514,0.015372,0.003571
72,287900,1.738512,1.727135,-26.133066,25.5603,25.5604,6.4164,6.3902,2.0956,0.1283,289.35,222.8,5,2,288000,358.2,0.029603,0.022301,0.003651
73,291900,1.792847,1.764896,-26.540257,25.9715,25.9719,6.7604,6.5068,2.1928,0.1342,547.50,492.0,4,3,292000,364.5,0.039995,0.031845,0.004075
74,295900,1.869030,1.835689,-26.914367,26.3487,26.3491,6.7877,6.5409,2.4094,0.1344,1039.79,941.0,3,0,296000,370.9,0.027400,0.019392,0.004004
75,299900,,,,,,,,,,179.42,103.0,1,0,300000,371.2,,,
76,303900,1.892279,1.870504,-27.328794,26.7510,26.7511,6.8557,6.8010,2.0007,0.1392,847.43,1001.0,15,8,304000,377.6,0.026772,0.019431,0.003671
77,307900,1.948632,1.918250,-27.739422,27.1518,27.1521,7.1643,6.9331,2.2466,0.1443,1093.64,1001.0,2,0,308000,384.0,0.052081,0.042298,0.004891
78,311900,1.990104,1.965860,-28.137188,27.5597,27.5599,7.1840,7.0751,2.2847,0.1460,802.77,731.0,7,3,312000,390.3,0.024665,0.017895,0.003385
79,315900,2.084293,2.068582,-28.549039,27.9869,27.9870,7.3852,7.1732,2.3971,0.1502,531.29,595.8,4,3,316000,396.6,0.025141,0.018946,0.003098
80,319900,,,,,,,,,,503.53,337.0,3,2,320000,397.0,,,
81,323900,2.071289,2.045678,-28.998556,28.4334,28.4333,7.6316,7.4259,2.2797,0.1534,754.91,837.0,30,12,324000,403.5,0.013150,0.007977,0.002586
82,327900,2.259757,2.227075,-29.469723,28.8765,28.8770,8.2369,7.7565,2.3026,0.1592,708.32,728.1,19,13,328000,410.0,0.113841,0.098722,0.007559
83,331900,2.379186,2.355320,-29.937847,29.3660,29.3661,8.2087,8.1216,2.4047,0.1633,434.79,407.7,7,3,332000,416.3,0.114622,0.097012,0.008805
84,335900,2.373500,2.342248,-30.453972,29.8783,29.8788,8.3176,8.2436,2.2658,0.1690,1169.08,1001.0,1,0,336000,422.6,0.036922,0.027892,0.004515
85,339900,,,,,,,,,,490.02,513.8,5,3,340000,422.9,,,
86,343900,2.507760,2.493837,-30.955021,30.3513,30.3516,8.6565,8.5823,2.3868,0.1744,322.28,182.0,2,2,344000,429.2,0.031594,0.024204,0.003695
87,347900,2.618161,2.599607,-31.379226,30.7827,30.7827,8.8190,8.7163,2.5294,0.1771,1117.84,988.4,9,6,348000,435.5,0.051064,0.043395,0.003835
88,351900,2.704722,2.704284,-31.861716,31.2633,31.2636,9.3423,9.2962,2.5214,0.1823,619.76,574.2,5,4,352000,442.0,0.050305,0.041631,0.004337
89,355900,2.762923,2.749245,-32.282116,31.6592,31.6598,9.5529,9.3548,2.3470,0.1825,835.30,1001.0,3,3,356000,448.5,0.023286,0.016539,0.003374
90,359900,,,,,,,,,,529.77,371.0,1,1,360000,448.8,,,
91,363900,2.846253,2.826488,-32.665689,32.0617,32.0614,9.7668,9.3294,2.4024,0.1870,723.92,407.0,1,0,364000,455.3,0.012123,0.007847,0.002138
92,367900,2.903736,2.892868,-33.089621,32.4458,32.4459,9.9257,9.5362,2.4803,0.1926,653.31,723.3,3,1,368000,461.8,0.011728,0.007567,0.002081
