epoch,step,loss_q1,loss_q2,loss_pi,q1_val,q2_val,grad_q1,grad_q2,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s
132,527900,0.881988,0.825913,-10.405820,9.9419,9.9390,3.0923,4.4640,2.6397,0.0672,51.39,53.4,75,36,528000,74.2
133,531900,0.917622,0.864847,-10.466425,9.9920,9.9907,3.7470,5.2678,1.7248,0.0413,50.38,52.4,76,30,532000,74.8
134,535900,0.894127,0.834249,-10.590997,10.0989,10.1010,3.2675,4.4046,0.9303,0.0331,47.91,49.9,75,34,536000,75.5
135,539900,,,,,,,,,,48.42,50.4,79,37,540000,75.7
136,543900,0.916624,0.840006,-10.636024,10.1831,10.1829,3.0139,4.1053,1.4659,0.0304,51.41,53.4,79,42,544000,76.3
137,547900,0.985618,0.910278,-10.723329,10.2393,10.2377,3.3963,4.6916,1.6492,0.0286,51.80,53.8,71,41,548000,77.0
138,551900,0.969360,0.886073,-10.847384,10.3706,10.3707,3.5345,4.4905,1.2434,0.0241,53.42,55.4,71,31,552000,77.8
139,555900,0.942714,0.860488,-10.894906,10.4124,10.4109,2.8127,4.2436,1.0876,0.0506,50.70,52.7,76,38,556000,78.7
140,559900,,,,,,,,,,51.64,53.6,76,41,560000,78.9
141,563900,0.974243,0.896361,-11.030308,10.5508,10.5524,3.4142,4.8800,1.5604,0.0873,53.15,55.1,75,40,564000,79.7
142,567900,1.048920,0.955098,-11.072108,10.6295,10.6288,3.5095,4.6542,1.0574,0.0714,49.74,51.7,72,42,568000,80.3
143,571900,0.993055,0.900664,-11.176661,10.6890,10.6885,3.5820,4.8653,1.7202,0.0350,49.52,51.5,82,42,572000,81.0
144,575900,1.023840,0.927612,-11.247726,10.7678,10.7677,3.6453,5.1398,2.2997,0.0307,52.00,54.0,74,38,576000,81.6
145,579900,,,,,,,,,,51.55,53.6,74,45,580000,81.8
146,583900,1.038731,0.947689,-11.312630,10.8481,10.8475,3.2970,5.0792,1.6648,0.0443,51.20,53.2,71,38,584000,82.5
147,587900,1.072684,0.985388,-11.405893,10.9457,10.9455,3.4005,5.1149,2.5159,0.0395,50.63,52.6,82,45,588000,83.1
148,591900,1.048740,0.960822,-11.507575,11.0266,11.0256,3.4961,5.1944,2.6887,0.0371,46.99,49.0,87,40,592000,83.8
149,595900,1.044945,0.953984,-11.608008,11.1238,11.1247,3.6499,5.0417,2.1862,0.0274,48.29,50.3,77,46,596000,84.5
150,599900,,,,,,,,,,50.03,52.0,73,41,600000,84.7
151,603900,1.045628,0.951090,-11.701556,11.1969,11.1970,3.4877,5.0023,1.0147,0.0332,52.19,54.2,69,37,604000,85.3
152,607900,1.058434,0.966247,-11.802024,11.3066,11.3077,4.6118,6.2054,0.8428,0.0250,51.98,54.0,82,45,608000,86.0
153,611900,1.139386,1.041857,-11.875751,11.3859,11.3817,3.7567,5.2194,1.9522,0.0404,50.90,52.9,77,43,612000,86.6
154,615900,1.090966,0.998801,-11.946002,11.4833,11.4838,3.4935,5.7387,2.2312,0.0616,50.33,52.3,73,30,616000,87.3
155,619900,,,,,,,,,,49.12,51.1,73,37,620000,87.5
156,623900,1.140335,1.047299,-12.028568,11.5480,11.5464,3.7562,5.9248,1.5454,0.0467,49.06,51.1,84,46,624000,88.2
157,627900,1.140078,1.057005,-12.084167,11.6143,11.6169,4.2242,6.3025,1.3297,0.0519,48.36,50.4,84,47,628000,88.8
158,631900,1.091426,1.007138,-12.167152,11.6807,11.6790,3.5672,5.6823,0.8836,0.0396,51.06,53.1,71,34,632000,89.5
159,635900,1.100163,1.014419,-12.240516,11.8195,11.8148,4.6158,6.9013,1.3912,0.0380,52.88,54.9,66,32,636000,90.1
160,639900,,,,,,,,,,50.70,52.7,81,35,640000,90.3
161,643900,1.152575,1.068687,-12.355411,11.8615,11.8648,4.3289,5.8838,1.2357,0.0517,48.90,50.9,79,47,644000,91.0
162,647900,1.125168,1.042447,-12.420454,11.9500,11.9483,4.1248,6.4054,1.1189,0.0573,54.43,56.4,79,30,648000,91.7
163,651900,1.098110,1.004713,-12.474976,12.0232,12.0237,4.0192,6.2289,1.1787,0.0453,46.71,48.7,73,40,652000,92.4
164,655900,1.142098,1.060009,-12.552451,12.0957,12.0960,3.6109,5.8481,2.4879,0.0446,50.29,52.3,70,35,656000,93.0
165,659900,,,,,,,,,,49.26,51.3,88,45,660000,93.2
166,663900,1.200550,1.113283,-12.665158,12.1950,12.1952,3.7482,5.9790,1.3667,0.0513,48.48,50.5,79,38,664000,93.9
167,667900,1.153919,1.065768,-12.754014,12.2509,12.2483,4.2640,6.8635,1.3432,0.0568,49.09,51.1,76,43,668000,94.5
168,671900,1.130455,1.058546,-12.811317,12.3549,12.3534,4.1219,6.6638,2.2275,0.0840,52.57,54.6,65,31,672000,95.2
169,675900,1.143207,1.062513,-12.880854,12.4100,12.4132,4.0444,7.0405,2.1269,0.0781,54.32,56.3,81,38,676000,95.8
170,679900,,,,,,,,,,53.01,55.0,70,32,680000,96.0
171,683900,1.219422,1.136491,-12.992977,12.5006,12.4999,4.2892,7.4312,1.8079,0.0879,50.96,53.0,80,33,684000,96.7
