epoch,step,loss_q1,loss_q2,loss_pi,q1_val,q2_val,grad_q1,grad_q2,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s
91,363900,128.377422,132.275821,-56.563460,51.4599,51.4479,254.9646,233.9720,0.5402,0.0570,140.98,17.3,239,122,364000,55.7
92,367900,130.245446,134.147675,-57.149363,52.1375,52.1311,218.8304,199.5372,0.5495,0.0579,139.38,17.2,231,134,368000,56.4
93,371900,135.080114,139.155958,-57.858766,52.7088,52.7119,220.4953,212.6878,0.4982,0.0821,138.59,17.1,234,114,372000,57.1
94,375900,135.327324,139.549099,-58.577305,53.5352,53.5461,215.7784,205.7008,0.4956,0.0536,150.21,18.3,213,108,376000,57.8
95,379900,,,,,,,,,,140.98,17.4,229,108,380000,58.0
96,383900,142.856793,146.811612,-59.345055,53.9686,53.9691,265.9376,251.6775,0.4205,0.0946,147.67,18.1,221,110,384000,58.7
97,387900,145.634741,149.865115,-59.987178,54.8191,54.8236,254.3221,230.8062,0.5333,0.1012,149.18,18.3,219,106,388000,59.4
98,391900,145.509846,150.088367,-60.904369,55.5228,55.5221,254.1046,237.3393,0.4081,0.0695,150.78,18.4,217,107,392000,60.0
99,395900,150.960941,155.807629,-61.380405,56.1573,56.1541,279.5571,278.2198,0.5230,0.0796,148.75,18.2,228,108,396000,60.8
100,399900,,,,,,,,,,146.34,17.9,228,118,400000,61.0
101,403900,154.284167,158.591387,-61.889977,56.6195,56.6278,317.9424,303.0203,0.5732,0.0903,142.19,17.5,218,97,404000,61.7
102,407900,152.496289,156.587668,-62.879309,57.6066,57.6010,255.2404,235.8516,0.5980,0.0835,150.30,18.4,211,98,408000,62.4
103,411900,157.616371,161.628682,-63.568074,58.1701,58.1786,268.7390,238.7256,0.5365,0.0640,163.13,19.8,197,95,412000,63.1
104,415900,159.125086,163.739026,-64.283430,58.8340,58.8259,297.1581,272.8615,0.6696,0.0909,173.12,20.8,196,105,416000,63.7
105,419900,,,,,,,,,,158.94,19.3,209,92,420000,64.0
106,423900,163.125011,167.810593,-64.918076,59.5319,59.5298,310.8505,295.3278,0.7999,0.0859,173.45,20.9,187,107,424000,64.6
107,427900,169.026449,173.130260,-65.213641,60.0982,60.0967,318.2776,301.7745,0.6427,0.1026,173.19,20.9,201,103,428000,65.3
108,431900,170.012835,173.991892,-65.936797,60.8686,60.8696,288.4498,262.7812,0.8251,0.0977,175.04,21.1,171,92,432000,66.0
109,435900,175.800381,180.285334,-66.882726,61.5270,61.5208,297.7787,275.5011,0.6118,0.1095,184.44,22.1,190,105,436000,66.7
110,439900,,,,,,,,,,173.65,20.9,195,109,440000,66.9
111,443900,180.680330,184.615131,-67.449264,61.9797,61.9826,306.6057,287.3206,0.7243,0.0745,181.53,21.8,181,94,444000,67.5
112,447900,180.584230,184.906849,-67.830418,62.6325,62.6397,310.3340,293.2486,0.5401,0.0633,190.38,22.7,172,87,448000,68.3
113,451900,181.739202,185.745269,-68.371663,63.2808,63.2741,349.7597,328.9822,0.6133,0.0738,183.79,22.0,186,87,452000,68.9
114,455900,183.728126,187.301227,-69.488900,64.1254,64.1277,362.8154,344.5331,0.7803,0.0714,193.69,23.1,174,102,456000,69.6
115,459900,,,,,,,,,,200.15,23.7,162,79,460000,69.9
116,463900,190.705369,194.726798,-70.039618,64.7226,64.7239,388.1457,354.8923,0.7067,0.0742,198.38,23.6,170,85,464000,70.5
117,467900,188.716129,192.436458,-70.539536,65.2529,65.2448,360.9643,343.4695,0.5031,0.1604,199.77,23.7,171,82,468000,71.2
118,471900,192.941171,196.796604,-71.559554,65.8721,65.8702,432.1848,393.9965,0.6662,0.0690,196.52,23.4,171,78,472000,71.9
119,475900,199.781884,203.993056,-71.978800,66.5134,66.5197,400.3113,390.1316,0.6986,0.0538,198.57,23.6,169,82,476000,72.6
120,479900,,,,,,,,,,201.32,23.9,162,84,480000,72.8
121,483900,197.889031,201.317092,-72.693924,67.3408,67.3338,358.2524,338.4151,0.6345,0.0871,206.16,24.4,170,88,484000,73.5
122,487900,201.455771,205.453684,-72.699553,67.6201,67.6069,349.1533,333.4841,0.7652,0.1060,203.28,24.1,167,86,488000,74.2
123,491900,207.289071,210.450128,-73.735332,68.3030,68.3063,433.4675,422.9902,0.6593,0.0699,199.69,23.7,170,85,492000,74.9
124,495900,208.975872,211.942241,-74.350408,69.0556,69.0547,429.4663,402.9468,0.7426,0.1006,200.61,23.8,170,83,496000,75.7
125,499900,,,,,,,,,,194.32,23.1,169,73,500000,75.9
126,503900,208.418781,212.255649,-74.958718,69.6285,69.6265,510.8664,504.7881,0.8794,0.1046,199.01,23.6,165,73,504000,76.6
