epoch,step,loss_q1,loss_q2,loss_pi,q1_val,q2_val,grad_q1,grad_q2,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s,det_loss,det_dist_loss,det_alpha_loss
102,407900,4.370496,4.304413,-44.712594,43.9052,43.9055,51.2306,61.0300,1.8978,0.2312,,,0,0,408000,145.9,0.323322,0.284105,0.019609
103,411900,4.560203,4.470704,-45.981586,45.1593,45.1602,55.7765,65.8517,1.7028,0.2242,,,0,0,412000,148.0,0.162842,0.140133,0.011355
104,415900,4.415940,4.331034,-47.104798,46.3005,46.3010,51.5713,62.1937,1.6224,0.2300,,,0,0,416000,149.9,0.111361,0.095562,0.007899
105,419900,,,,,,,,,,,,0,0,420000,150.0,,,
106,423900,4.875989,4.807130,-48.230825,47.4193,47.4200,61.1761,73.1625,1.7662,0.2362,,,0,0,424000,152.0,0.084750,0.072552,0.006099
107,427900,4.840164,4.761861,-49.415070,48.5199,48.5208,56.6368,69.7875,1.8204,0.2385,,,0,0,428000,153.8,0.092721,0.079661,0.006530
108,431900,4.834128,4.771230,-50.509351,49.6740,49.6743,58.0661,71.4675,1.7872,0.2570,,,0,0,432000,155.7,0.080875,0.069439,0.005718
109,435900,4.911159,4.837950,-51.585091,50.7798,50.7800,62.7472,74.4567,1.9798,0.2575,,,0,0,436000,157.7,0.072942,0.062790,0.005076
110,439900,,,,,,,,,,,,0,0,440000,157.8,,,
111,443900,5.029061,4.951260,-52.671614,51.8561,51.8569,59.8288,74.1985,1.8849,0.2572,,,0,0,444000,159.7,0.070294,0.060265,0.005015
112,447900,5.152401,5.073821,-53.720872,52.9483,52.9484,63.3092,78.4122,1.8170,0.2494,,,0,0,448000,161.5,0.052483,0.043812,0.004335
113,451900,5.166401,5.099670,-54.810044,53.9384,53.9389,62.1710,77.4818,1.9929,0.2375,,,0,0,452000,163.5,0.062023,0.052693,0.004665
114,455900,5.376832,5.284378,-55.916226,55.0998,55.0997,66.2454,78.0180,1.8322,0.2316,,,0,0,456000,165.4,0.054401,0.046494,0.003953
115,459900,,,,,,,,,,,,0,0,460000,165.5,,,
116,463900,5.688923,5.596909,-56.918058,56.0785,56.0785,69.8573,84.8024,1.8795,0.2653,,,0,0,464000,167.3,0.066162,0.056400,0.004881
117,467900,5.677521,5.567467,-57.987924,57.2022,57.2023,69.4524,84.1160,1.7871,0.2500,,,0,0,468000,169.0,0.062632,0.053297,0.004667
118,471900,5.580927,5.483690,-59.050476,58.1706,58.1709,72.2437,89.5417,1.8983,0.2610,,,0,0,472000,170.8,0.047354,0.040492,0.003431
119,475900,5.752979,5.633479,-60.037734,59.1710,59.1711,75.3788,91.8397,2.0649,0.2775,,,0,0,476000,172.5,0.044531,0.037419,0.003556
120,479900,,,,,,,,,,,,0,0,480000,172.7,,,
121,483900,5.745043,5.644149,-61.010804,60.1968,60.1969,74.1843,92.9604,2.0175,0.2638,,,0,0,484000,174.7,0.028966,0.024313,0.002326
122,487900,6.051787,5.969790,-61.819010,61.0224,61.0223,80.8253,102.6796,2.0950,0.2704,,,0,0,488000,176.5,0.036699,0.031454,0.002622
123,491900,6.063310,5.928908,-62.985274,62.1637,62.1642,79.2427,97.8000,2.0778,0.2736,,,0,0,492000,178.4,0.044339,0.038683,0.002828
124,495900,6.091092,5.975328,-63.966943,63.1571,63.1568,76.4130,95.9751,2.0589,0.2805,,,0,0,496000,180.3,0.029154,0.024334,0.002410
125,499900,,,,,,,,,,,,0,0,500000,180.5,,,
126,503900,6.138482,6.007856,-64.883272,64.0216,64.0217,79.8225,94.2127,1.9858,0.2869,2348.44,1001.0,100,48,504000,182.4,0.044719,0.038493,0.003113
127,507900,8.874460,8.754825,-66.075373,65.2211,65.2210,103.2964,129.4482,2.3218,0.3067,,,0,0,508000,184.3,0.341850,0.302668,0.019591
128,511900,8.733179,8.580301,-67.468910,66.6158,66.6162,103.4267,123.7008,2.0710,0.2831,,,0,0,512000,186.1,0.137170,0.115068,0.011051
129,515900,8.653204,8.507129,-68.947090,67.9957,67.9963,97.2889,120.0222,2.1003,0.2849,,,0,0,516000,187.9,0.104515,0.088895,0.007810
130,519900,,,,,,,,,,,,0,0,520000,188.1,,,
131,523900,9.619564,9.471694,-70.141656,69.3716,69.3712,107.1453,130.5654,2.0967,0.2809,,,0,0,524000,189.9,0.103301,0.089488,0.006906
132,527900,9.072376,8.923825,-71.481924,70.7148,70.7154,109.3070,132.2334,2.0744,0.2849,,,0,0,528000,191.6,0.083734,0.071709,0.006012
133,531900,9.114479,8.971808,-72.784772,71.9349,71.9344,107.8607,131.3419,2.0130,0.2927,,,0,0,532000,193.3,0.077793,0.066995,0.005399
134,535900,9.352554,9.206974,-74.085119,73.2048,73.2052,109.7158,137.6440,2.1047,0.2923,,,0,0,536000,195.1,0.078605,0.067462,0.005571
135,539900,,,,,,,,,,,,0,0,540000,195.2,,,
136,543900,9.615062,9.467139,-75.174550,74.4517,74.4516,113.5588,139.5259,2.2876,0.2975,,,0,0,544000,197.1,0.063762,0.054733,0.004515
137,547900,10.396271,10.247943,-76.459488,75.6728,75.6732,120.9052,151.5789,2.1518,0.2984,,,0,0,548000,198.9,0.069049,0.059973,0.004538
138,551900,9.985094,9.835381,-77.802768,76.9977,76.9979,119.7204,144.8145,2.5462,0.3207,,,0,0,552000,200.8,0.067668,0.058381,0.004643
139,555900,10.465022,10.310424,-79.000018,78.0582,78.0587,127.1861,153.4593,2.2496,0.3269,,,0,0,556000,202.7,0.062991,0.054745,0.004123
140,559900,,,,,,,,,,,,0,0,560000,202.8,,,
141,563900,9.664657,9.502418,-80.084687,79.2681,79.2684,118.5472,142.9892,2.3211,0.3289,,,0,0,564000,204.6,0.061137,0.052084,0.004526
142,567900,9.899291,9.743256,-81.394909,80.5007,80.5008,128.3992,157.3988,2.5115,0.3311,,,0,0,568000,206.4,0.049289,0.042364,0.003463
143,571900,10.604317,10.447921,-82.507921,81.7333,81.7337,127.7063,156.3950,2.4848,0.3271,,,0,0,572000,208.1,0.038981,0.033596,0.002693
144,575900,10.262388,10.081390,-83.750362,82.8325,82.8326,132.3901,163.2844,2.5648,0.3287,,,0,0,576000,209.9,0.042428,0.036221,0.003103
145,579900,,,,,,,,,,,,0,0,580000,210.0,,,
146,583900,10.456648,10.281442,-84.988273,84.0881,84.0895,129.7179,157.6931,2.6242,0.3338,,,0,0,584000,211.8,0.054267,0.047607,0.003330
147,587900,10.840096,10.656196,-86.068562,85.2761,85.2764,145.0464,172.3695,2.8123,0.3524,,,0,0,588000,213.6,0.043373,0.037315,0.003029
148,591900,11.523794,11.333910,-87.354852,86.4286,86.4280,140.3470,168.5878,2.5407,0.3568,,,0,0,592000,215.3,0.049627,0.043786,0.002920
149,595900,10.743043,10.566472,-88.493666,87.6454,87.6458,137.6082,166.6905,2.6906,0.3451,,,0,0,596000,217.1,0.045022,0.038812,0.003105
150,599900,,,,,,,,,,,,0,0,600000,217.3,,,
151,603900,11.338206,11.117064,-89.758946,88.7361,88.7372,149.3148,181.1873,2.6473,0.3628,3195.66,1001.0,100,47,604000,219.0,0.076642,0.066473,0.005084
152,607900,15.316918,15.125991,-90.806226,89.8800,89.8799,177.6868,218.2636,2.7748,0.3745,,,0,0,608000,220.7,0.315836,0.277839,0.018999
153,611900,15.712021,15.494226,-92.297628,91.4379,91.4392,177.4411,215.5696,2.6843,0.3572,,,0,0,612000,222.5,0.162822,0.139004,0.011909
154,615900,16.248883,16.076767,-93.706600,92.8427,92.8426,188.5633,226.6078,2.8656,0.3628,,,0,0,616000,224.2,0.106488,0.091933,0.007277
