epoch,step,loss_q1,loss_q2,loss_pi,q1_val,q2_val,grad_q1,grad_q2,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s,det_loss,det_dist_loss,det_alpha_loss
108,431900,173.073537,174.187308,-67.176627,60.1261,60.1326,362.5990,349.6430,1.0620,0.0000,193.35,23.0,170,92,432000,100.3,0.672137,0.573033,0.049552
109,435900,180.702997,182.274832,-67.917441,60.9148,60.9112,403.2671,385.2882,1.2794,0.0000,181.90,21.8,183,93,436000,101.7,0.667218,0.570034,0.048592
110,439900,,,,,,,,,,193.00,23.0,176,93,440000,102.0,,,
111,443900,178.626175,180.582055,-68.669818,61.6349,61.6407,405.0286,369.6150,1.5080,0.0000,190.22,22.7,174,83,444000,103.5,0.671043,0.572981,0.049031
112,447900,188.160027,189.830825,-69.318985,61.9913,61.9880,529.3563,475.3421,1.4235,0.0000,191.24,22.8,178,97,448000,105.0,0.673525,0.574741,0.049392
113,451900,184.378248,186.274449,-70.253477,62.9036,62.9114,523.1789,474.0994,1.6057,0.0000,185.46,22.2,186,93,452000,106.5,0.658096,0.562109,0.047993
114,455900,188.514092,190.754666,-70.685601,63.6349,63.6330,439.7690,423.3494,1.7291,0.0000,182.93,21.9,176,91,456000,107.9,0.650019,0.555368,0.047326
115,459900,,,,,,,,,,202.48,24.0,173,89,460000,108.1,,,
116,463900,194.653107,196.146098,-71.102750,64.2761,64.2685,498.7925,454.4468,1.3708,0.0000,185.67,22.2,175,80,464000,109.6,0.656318,0.561146,0.047586
117,467900,196.042294,196.862652,-71.762418,64.9709,64.9621,482.1234,434.3916,1.4702,0.0000,186.81,22.3,178,96,468000,110.9,0.650737,0.556608,0.047065
118,471900,200.144887,201.775376,-72.247303,65.3126,65.3177,567.1552,519.8562,1.4989,0.0000,183.04,21.9,187,100,472000,112.3,0.670521,0.571775,0.049373
119,475900,201.461836,203.035085,-73.020495,66.2341,66.2353,529.4192,506.0498,1.7184,0.0000,183.03,21.9,188,97,476000,113.7,0.653120,0.558432,0.047344
120,479900,,,,,,,,,,176.53,21.2,185,100,480000,114.0,,,
