epoch,step,loss_q,loss_pi,q_val,grad_q,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s
103,411900,2.948097,2.931208,-35.654167,35.1806,35.1804,8.6223,8.6562,2.2218,0.2091,496.83,671.7,3,2,412000,138.7
104,415900,2.926549,2.915460,-36.064431,35.5829,35.5830,8.4809,8.8655,2.1731,0.2135,733.38,684.0,3,2,416000,140.3
105,419900,,,,,,,,,,1020.20,1001.0,8,5,420000,140.5
106,423900,3.188361,3.149803,-36.377872,35.9262,35.9258,8.9907,9.0712,2.3573,0.2168,886.89,1001.0,6,1,424000,142.2
107,427900,3.240086,3.222289,-36.765168,36.2554,36.2552,8.9669,9.2020,2.3167,0.2168,1004.94,771.4,11,5,428000,143.9
108,431900,3.260586,3.239866,-37.106446,36.6232,36.6229,9.2927,9.4940,2.2673,0.2223,972.99,750.6,7,2,432000,145.5
109,435900,3.345930,3.322559,-37.411212,36.9184,36.9182,9.3056,9.4867,2.3307,0.2276,,,0,0,436000,147.2
110,439900,,,,,,,,,,1174.83,1001.0,3,2,440000,147.5
111,443900,3.428320,3.407785,-37.803933,37.3018,37.3022,9.4834,9.7092,2.2186,0.2314,791.24,547.9,7,3,444000,149.1
112,447900,3.519417,3.514487,-38.125541,37.6295,37.6294,9.7655,10.0284,2.1357,0.2366,1103.74,1001.0,5,3,448000,150.7
113,451900,3.531252,3.521738,-38.436931,37.9572,37.9563,9.8477,10.1719,2.1241,0.2392,852.80,1001.0,2,0,452000,152.3
114,455900,3.608936,3.583961,-38.771842,38.2583,38.2587,9.9693,10.0753,2.1722,0.2391,759.73,701.7,3,1,456000,154.0
115,459900,,,,,,,,,,1284.82,1001.0,3,0,460000,154.3
116,463900,3.721954,3.709122,-39.111243,38.6220,38.6218,10.1997,10.3352,2.2450,0.2467,1014.61,813.0,2,0,464000,155.9
117,467900,3.739622,3.718061,-39.528317,39.0076,39.0074,10.1820,10.2872,2.1477,0.2483,796.29,702.0,2,2,468000,157.5
118,471900,3.862365,3.860910,-39.816289,39.2977,39.2978,10.2354,10.6717,2.1948,0.2476,890.41,1001.0,3,1,472000,159.3
119,475900,3.879323,3.852664,-40.153884,39.6198,39.6195,10.6363,10.6830,2.1293,0.2534,1114.91,1001.0,2,0,476000,160.9
120,479900,,,,,,,,,,1000.60,840.3,7,1,480000,161.1
121,483900,3.859109,3.866407,-40.492840,39.9597,39.9595,10.5708,10.9581,2.3508,0.2614,1093.20,896.5,4,3,484000,162.9
122,487900,3.984606,3.958738,-40.788948,40.2725,40.2726,10.8144,10.9598,2.5288,0.2606,,,0,0,488000,164.6
123,491900,4.062391,4.040475,-41.146855,40.5961,40.5957,10.9825,11.2642,2.3351,0.2664,1056.34,1001.0,4,2,492000,166.2
124,495900,4.134115,4.094375,-41.499765,40.9268,40.9256,10.9716,11.2452,2.4965,0.2700,945.88,703.6,5,2,496000,167.9
125,499900,,,,,,,,,,448.81,515.5,4,2,500000,168.1
126,503900,4.192864,4.176488,-41.745526,41.1806,41.1802,11.2275,11.8541,2.3987,0.2731,1081.53,930.4,14,7,504000,169.7
127,507900,4.364940,4.348640,-42.060319,41.4935,41.4931,11.3867,11.8526,2.5126,0.2755,1005.92,780.9,7,3,508000,171.4
128,511900,4.441116,4.444935,-42.457906,41.8696,41.8700,11.6417,12.1157,2.3333,0.2766,598.35,542.1,8,5,512000,173.0
129,515900,4.551125,4.533074,-42.781916,42.2352,42.2348,12.0958,12.5280,2.4399,0.2823,1489.48,1001.0,2,1,516000,174.7
130,519900,,,,,,,,,,1339.79,1001.0,7,2,520000,174.9
131,523900,4.660322,4.637310,-43.114621,42.5596,42.5595,12.2616,12.6234,2.4607,0.2821,734.33,576.8,6,2,524000,176.6
132,527900,4.622234,4.602685,-43.467518,42.8999,42.8994,12.1685,12.4210,2.3294,0.2839,873.00,848.1,11,7,528000,178.2
133,531900,4.971781,4.935879,-43.835209,43.2427,43.2426,12.7331,13.2473,2.4709,0.2911,1124.43,883.4,8,3,532000,179.9
134,535900,4.961893,4.931418,-44.246203,43.6692,43.6692,12.8792,13.2805,2.2469,0.2904,429.07,216.0,2,2,536000,181.6
135,539900,,,,,,,,,,896.47,1001.0,3,0,540000,181.9
136,543900,5.130094,5.083202,-44.590229,44.0168,44.0164,13.4298,13.7546,2.4222,0.2941,916.11,792.2,8,5,544000,183.5
137,547900,5.320923,5.312446,-45.008400,44.4189,44.4179,13.5199,14.1076,2.2711,0.3028,1614.10,934.6,5,4,548000,185.2
138,551900,5.216773,5.192140,-45.218040,44.6973,44.6968,13.5130,13.8603,2.4682,0.3048,1551.32,1001.0,2,2,552000,186.8
139,555900,5.310582,5.294014,-45.775398,45.1916,45.1921,13.9464,14.3143,2.6154,0.3126,949.30,792.5,4,2,556000,188.4
140,559900,,,,,,,,,,1071.66,667.4,5,3,560000,188.7
141,563900,5.464348,5.422381,-46.153518,45.5317,45.5308,14.1119,14.5497,2.5611,0.3099,888.14,609.5,4,2,564000,190.4
