epoch,step,loss_q,loss_pi,q_val,grad_q,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s,det_loss,det_dist_loss,det_alpha_loss
4,15900,219.326973,207.367245,-42.178237,41.7231,42.0069,683.4434,666.7511,0.0202,0.0077,,,0,0,16000,2.4,,,
5,19900,,,,,,,,,,,,0,0,20000,3.0,,,
6,23900,104.491608,102.971356,-52.044235,51.7910,51.9182,394.2790,437.7561,0.0099,0.0013,,,0,0,24000,3.8,,,
7,27900,68.341560,67.684661,-58.842711,58.4099,58.4781,309.9171,301.7091,0.0019,0.0301,,,0,0,28000,4.6,,,
8,31900,50.780060,50.745737,-63.958336,63.6240,63.6506,304.9410,326.4762,0.0010,0.0991,,,0,0,32000,5.4,,,
9,35900,40.920005,41.095835,-68.562711,68.2945,68.3117,420.7620,388.6047,0.0003,0.0760,,,0,0,36000,6.3,,,
10,39900,,,,,,,,,,,,0,0,40000,6.9,,,
11,43900,35.742327,35.548759,-73.604251,73.0763,73.0914,381.1674,390.1655,0.0002,0.0039,,,0,0,44000,7.8,,,
12,47900,30.658515,31.064236,-77.842605,77.4622,77.4677,441.1863,495.4984,0.0001,0.0539,,,0,0,48000,8.6,,,
13,51900,28.309561,28.531403,-82.030272,81.6648,81.6623,440.8779,486.7724,0.0002,0.0495,,,0,0,52000,9.4,,,
14,55900,26.487405,26.521810,-86.882895,86.3951,86.4038,541.7803,614.9874,0.0001,0.0001,,,0,0,56000,10.2,,,
15,59900,,,,,,,,,,,,0,0,60000,10.8,,,
16,63900,25.012381,24.850671,-91.798918,91.2240,91.2217,447.1564,455.3927,0.0001,0.0796,,,0,0,64000,11.7,,,
17,67900,23.794216,23.432032,-96.168853,95.6774,95.6716,527.9354,519.6183,0.0001,0.0001,,,0,0,68000,12.5,,,
18,71900,23.418281,23.056575,-101.617201,100.9046,100.9134,801.4868,758.0555,0.0001,0.0001,,,0,0,72000,13.3,,,
19,75900,23.461393,23.632901,-105.991065,105.6042,105.6078,1011.0664,1280.9942,0.0001,0.0001,,,0,0,76000,14.1,,,
20,79900,,,,,,,,,,,,0,0,80000,14.7,,,
21,83900,23.034156,22.565867,-111.365480,110.7197,110.7071,1026.6413,985.1032,0.0001,0.1073,,,0,0,84000,15.6,,,
22,87900,22.432102,21.931104,-116.849748,116.0305,116.0443,661.8010,612.5729,0.0000,0.0006,,,0,0,88000,16.4,,,
23,91900,22.775751,21.519083,-122.064977,121.4299,121.4206,954.2760,699.6704,0.0000,0.0001,,,0,0,92000,17.2,,,
24,95900,22.488653,21.824132,-127.383797,126.8221,126.8316,698.0058,806.5277,0.0000,0.0001,,,0,0,96000,18.0,,,
25,99900,,,,,,,,,,55233.50,1000.0,100,56,100000,18.7,,,
26,103900,36.060123,35.750328,-132.970823,132.2274,132.2211,1130.8534,1425.3121,0.0000,0.0000,,,0,0,104000,19.7,0.833915,0.657448,0.088233
27,107900,82.316519,78.391855,-142.095176,141.4573,141.4475,2197.7232,1928.3927,0.0000,0.0001,,,0,0,108000,20.7,0.580181,0.467107,0.056537
28,111900,66.832343,64.971769,-148.249311,147.3790,147.3882,1519.7472,1585.0387,0.0000,0.0001,,,0,0,112000,21.7,0.227644,0.170131,0.028757
29,115900,61.855605,61.576410,-153.717761,153.1042,153.1313,2515.8723,3008.2753,0.0000,0.0001,,,0,0,116000,22.8,0.061255,0.045809,0.007723
30,119900,,,,,,,,,,,,0,0,120000,23.4,,,
31,123900,62.216863,61.034477,-159.756595,158.7495,158.7534,1860.5369,2019.0170,0.0000,0.0001,,,0,0,124000,24.4,0.014950,0.012939,0.001006
32,127900,60.195182,58.101701,-165.695333,164.7857,164.7783,1993.9283,2061.2338,0.0000,0.0000,,,0,0,128000,25.5,0.007405,0.006624,0.000391
33,131900,60.833745,58.855664,-171.843851,170.1607,170.1619,1916.2276,1980.6364,0.0000,0.0000,,,0,0,132000,26.5,0.004750,0.004284,0.000233
34,135900,56.056599,53.572710,-177.074014,175.8502,175.8451,1694.9300,1711.6967,0.0000,0.0000,,,0,0,136000,27.5,0.003274,0.002979,0.000148
35,139900,,,,,,,,,,,,0,0,140000,28.1,,,
36,143900,54.113047,52.490189,-181.020267,180.5197,180.5221,1557.5417,1797.3095,0.0000,0.0000,,,0,0,144000,29.2,0.002439,0.002228,0.000106
37,147900,59.636403,56.717802,-186.835520,185.8733,185.9122,2967.5936,2647.8463,0.0000,0.0000,,,0,0,148000,30.2,0.001908,0.001741,0.000084
38,151900,55.038288,53.409219,-191.286527,189.8428,189.8209,2163.8593,2121.6282,0.0000,0.0000,,,0,0,152000,31.2,0.001579,0.001445,0.000067
39,155900,59.188080,60.546489,-196.964058,195.3147,195.2802,2428.9337,3439.5910,0.0000,0.0000,,,0,0,156000,32.2,0.001297,0.001194,0.000052
40,159900,,,,,,,,,,,,0,0,160000,32.9,,,
41,163900,67.944195,65.887334,-201.442964,200.0279,200.0331,2782.4400,2643.5740,0.0000,0.0000,,,0,0,164000,33.9,0.001083,0.000992,0.000045
42,167900,56.889481,56.430057,-206.934811,205.3987,205.3783,2962.6939,3562.4444,0.0000,0.0000,,,0,0,168000,34.9,0.000935,0.000860,0.000037
43,171900,52.343648,51.628234,-209.601818,208.8125,208.8478,1901.8108,2304.7511,0.0000,0.0000,,,0,0,172000,36.0,0.000784,0.000718,0.000033
44,175900,61.836230,60.720694,-214.971382,213.4238,213.4198,2885.5650,2997.0027,0.0000,0.0000,,,0,0,176000,37.0,0.000697,0.000643,0.000027
45,179900,,,,,,,,,,,,0,0,180000,37.6,,,
46,183900,69.097744,67.546705,-220.404621,218.3312,218.3224,2823.3830,2802.3369,0.0000,0.0000,,,0,0,184000,38.7,0.000612,0.000561,0.000025
47,187900,56.218724,55.760902,-224.886725,223.3926,223.3846,2353.7466,2581.6977,0.0000,0.0000,,,0,0,188000,39.7,0.000546,0.000501,0.000022
48,191900,59.762811,55.354506,-228.769089,226.9117,226.9243,3246.9719,2173.2156,0.0000,0.0000,,,0,0,192000,40.8,0.000485,0.000443,0.000021
49,195900,56.506151,54.484334,-233.554888,231.7576,231.7507,2475.4602,2207.8745,0.0000,0.0000,,,0,0,196000,41.8,0.000428,0.000391,0.000018
50,199900,,,,,,,,,,,,0,0,200000,42.4,,,
51,203900,68.283243,66.425852,-239.370085,237.0806,237.0697,3081.6335,2789.7362,0.0000,0.0000,50908.68,1001.0,100,49,204000,43.4,1.168323,1.082421,0.042951
52,207900,77.865434,75.666650,-247.854073,245.4256,245.4064,3527.0889,3612.4111,0.0000,0.0001,,,0,0,208000,44.4,0.357082,0.314402,0.021340
53,211900,83.542730,80.719748,-254.203741,252.0141,252.0255,3012.8810,2657.9402,0.0000,0.0001,,,0,0,212000,45.4,0.083529,0.072654,0.005437
54,215900,87.874147,86.011410,-261.449092,259.5010,259.5279,5058.7803,5419.2822,0.0000,0.0001,,,0,0,216000,46.4,0.045321,0.040033,0.002644
55,219900,,,,,,,,,,,,0,0,220000,47.1,,,
56,223900,90.494114,88.855676,-268.357372,266.0273,266.0029,3826.1252,3957.8167,0.0000,0.0004,,,0,0,224000,48.1,0.006258,0.005610,0.000324
57,227900,90.524512,88.915404,-275.339888,272.6942,272.6942,4724.0158,5003.4330,0.0000,0.5133,,,0,0,228000,49.1,0.001333,0.001228,0.000052
58,231900,91.999234,90.686725,-281.876558,279.9695,279.9551,3427.6671,3047.0294,0.0000,0.0030,,,0,0,232000,50.2,0.001309,0.001139,0.000085
59,235900,95.121868,94.059039,-287.033506,285.5180,285.5344,3822.5151,4072.7470,0.0000,1.0622,,,0,0,236000,51.2,0.003649,0.003283,0.000183
60,239900,,,,,,,,,,,,0,0,240000,51.8,,,
61,243900,94.561837,93.239183,-293.016553,290.1862,290.1735,5106.0901,5453.1783,0.0000,0.0001,,,0,0,244000,52.9,0.001456,0.001255,0.000100
62,247900,91.339015,89.064583,-297.034557,296.1506,296.1366,4227.8420,4119.3998,0.0000,0.6354,,,0,0,248000,53.9,0.017780,0.016110,0.000835
63,251900,79.763536,77.439445,-303.041169,301.7308,301.7422,4337.4040,3998.5933,0.0000,1.8212,,,0,0,252000,54.9,0.006553,0.005764,0.000395
64,255900,89.118304,88.022118,-308.924874,307.3241,307.3188,4482.7037,4594.7656,0.0000,0.4884,,,0,0,256000,55.9,0.019556,0.017970,0.000793
65,259900,,,,,,,,,,,,0,0,260000,56.6,,,
66,263900,104.981295,104.076440,-312.367875,312.0505,312.0285,4856.2672,5088.0077,0.0000,0.0000,,,0,0,264000,57.6,0.009611,0.008734,0.000438
67,267900,104.425600,100.702458,-317.514951,317.5590,317.5832,4452.5123,4786.0150,0.0000,0.0000,,,0,0,268000,58.6,0.007251,0.006558,0.000347
68,271900,105.867338,102.844224,-322.163710,321.0032,320.9922,5627.9507,5160.0270,0.0000,0.0000,,,0,0,272000,59.6,0.003082,0.002736,0.000173
69,275900,90.219181,88.067132,-327.757278,326.1407,326.1509,4237.0025,3693.1576,0.0000,0.0000,,,0,0,276000,60.7,0.013394,0.012179,0.000607
70,279900,,,,,,,,,,,,0,0,280000,61.3,,,
71,283900,74.409763,72.417421,-332.327920,330.6559,330.6405,3140.2136,3919.3041,0.0000,0.0000,,,0,0,284000,62.4,0.002089,0.001803,0.000143
72,287900,121.476797,122.328229,-335.424998,335.2175,335.2179,5081.6245,5675.8228,0.0000,0.0000,,,0,0,288000,63.4,0.000214,0.000196,0.000009
73,291900,147.276930,142.859704,-339.548179,338.4745,338.4677,12155.9711,11984.8451,0.0000,0.0000,,,0,0,292000,64.4,0.006803,0.006337,0.000233
74,295900,96.542830,93.989348,-344.831084,343.8788,343.8831,5133.5865,4719.2617,0.0000,0.0000,,,0,0,296000,65.5,0.034331,0.031952,0.001189
75,299900,,,,,,,,,,,,0,0,300000,66.1,,,
76,303900,108.221755,106.432534,-350.217007,348.2894,348.2990,4236.1429,4450.2236,0.0000,0.0000,53637.00,1001.0,100,51,304000,67.1,0.000185,0.000170,0.000008
77,307900,124.732210,122.637016,-359.029215,357.5934,357.5736,5047.8037,4641.3343,0.0000,0.0000,,,0,0,308000,68.2,0.599587,0.561124,0.019232
78,311900,140.693007,139.168686,-365.835232,365.1885,365.1865,6201.5719,6450.2552,0.0000,0.0000,,,0,0,312000,69.2,0.555891,0.513536,0.021178
79,315900,136.992195,134.644958,-372.164585,371.3982,371.4045,8580.9257,8496.4547,0.0000,0.0000,,,0,0,316000,70.2,0.163749,0.143202,0.010274
80,319900,,,,,,,,,,,,0,0,320000,70.8,,,
81,323900,122.592287,117.615955,-380.439448,378.6527,378.6343,6098.4939,5981.2096,0.0000,0.0000,,,0,0,324000,71.9,0.089395,0.077904,0.005745
82,327900,129.818860,125.141576,-387.415078,385.0795,385.0957,5959.9342,4772.7332,0.0000,0.0000,,,0,0,328000,72.9,0.057740,0.051345,0.003197
83,331900,158.841794,157.759559,-394.130596,391.7295,391.7508,6001.0689,6394.4849,0.0000,0.0000,,,0,0,332000,73.9,0.113251,0.102736,0.005258
84,335900,147.171218,147.950020,-399.583369,397.9836,397.9671,6145.6308,6584.7289,0.0000,0.0000,,,0,0,336000,75.0,0.030429,0.026846,0.001792
85,339900,,,,,,,,,,,,0,0,340000,75.6,,,
86,343900,142.736112,142.726564,-403.693043,402.7885,402.7556,4157.8941,4456.5361,0.0000,0.0000,,,0,0,344000,76.6,0.017117,0.015205,0.000956
87,347900,170.583085,173.147982,-408.878184,407.4098,407.4211,8295.5867,10093.6249,0.0000,0.0000,,,0,0,348000,77.6,0.000677,0.000548,0.000065
88,351900,141.463103,138.808371,-416.483744,414.1269,414.1111,9182.0672,8826.1439,0.0000,0.0000,,,0,0,352000,78.7,0.000534,0.000460,0.000037
89,355900,126.597468,124.888294,-421.284509,418.8361,418.8669,5171.5621,4390.0429,0.0000,0.0000,,,0,0,356000,79.7,0.002103,0.001849,0.000127
90,359900,,,,,,,,,,,,0,0,360000,80.3,,,
91,363900,166.647627,164.439131,-424.498877,422.7526,422.7446,8412.5448,7794.9151,0.0000,0.0000,,,0,0,364000,81.3,0.005933,0.005119,0.000407
92,367900,178.985420,179.841309,-427.007954,426.0215,425.9942,10313.9157,10901.4596,0.0000,0.0000,,,0,0,368000,82.3,0.009423,0.008536,0.000443
93,371900,178.382628,176.387747,-433.849309,431.4046,431.4009,9099.0773,8353.6873,0.0000,0.0000,,,0,0,372000,83.4,0.000134,0.000124,0.000005
94,375900,136.006038,134.775304,-438.008982,436.4941,436.5146,9968.4105,10451.9692,0.0000,0.0000,,,0,0,376000,84.4,0.000123,0.000113,0.000005
95,379900,,,,,,,,,,,,0,0,380000,85.0,,,
96,383900,138.035352,135.083815,-445.619696,442.3493,442.3481,5315.7037,5527.3976,0.0000,0.0000,,,0,0,384000,86.0,0.000115,0.000105,0.000005
97,387900,138.799991,135.430571,-447.348090,445.2711,445.2723,5745.5662,4924.0565,0.0000,0.0000,,,0,0,388000,87.1,0.000104,0.000096,0.000004
98,391900,192.043247,191.651028,-450.030652,448.1176,448.1196,7234.3778,6662.0560,0.0000,0.0000,,,0,0,392000,88.1,0.000094,0.000086,0.000004
